z_p,offset,phi_deg,rho,eta,axis,sigma_eff,sigma_eff_strip,target_sigma,N_required
0,0,0,0,0,x,7.05985,2.4456,0.3,553.794
0,0,0,0,0,x,7.05985,2.4456,1,49.8414
0,0,0,0,0,y,4.97841,1.72457,0.3,275.384
0,0,0,0,0,y,4.97841,1.72457,1,24.7845
0,0,0,0,0,z,8.72288,3.02169,0.3,845.429
0,0,0,0,0,z,8.72288,3.02169,1,76.0886
0,150,0,0,0,x,6.98235,2.41876,0.3,541.702
0,150,0,0,0,x,6.98235,2.41876,1,48.7531
0,150,0,0,0,y,4.9027,1.69834,0.3,267.071
0,150,0,0,0,y,4.9027,1.69834,1,24.0364
0,150,0,0,0,z,8.59305,2.97672,0.3,820.451
0,150,0,0,0,z,8.59305,2.97672,1,73.8406
0,150,45,0,0,x,7.02434,2.4333,0.3,548.237
0,150,45,0,0,x,7.02434,2.4333,1,49.3413
0,150,45,0,0,y,5.01712,1.73798,0.3,279.683
0,150,45,0,0,y,5.01712,1.73798,1,25.1715
0,150,45,0,0,z,8.4922,2.94178,0.3,801.304
0,150,45,0,0,z,8.4922,2.94178,1,72.1174
0,150,90,0,0,x,6.85306,2.37397,0.3,521.827
0,150,90,0,0,x,6.85306,2.37397,1,46.9644
0,150,90,0,0,y,5.07713,1.75877,0.3,286.414
0,150,90,0,0,y,5.07713,1.75877,1,25.7773
0,150,90,0,0,z,8.73421,3.02562,0.3,847.627
0,150,90,0,0,z,8.73421,3.02562,1,76.2864
0,300,0,0,0,x,7.55776,2.61809,0.3,634.664
0,300,0,0,0,x,7.55776,2.61809,1,57.1198
0,300,0,0,0,y,4.88798,1.69325,0.3,265.471
0,300,0,0,0,y,4.88798,1.69325,1,23.8924
0,300,0,0,0,z,8.782,3.04217,0.3,856.927
0,300,0,0,0,z,8.782,3.04217,1,77.1235
0,300,45,0,0,x,7.02474,2.43344,0.3,548.299
0,300,45,0,0,x,7.02474,2.43344,1,49.3469
0,300,45,0,0,y,5.21856,1.80776,0.3,302.593
0,300,45,0,0,y,5.21856,1.80776,1,27.2333
0,300,45,0,0,z,8.73914,3.02733,0.3,848.584
0,300,45,0,0,z,8.73914,3.02733,1,76.3725
0,300,90,0,0,x,6.78518,2.35045,0.3,511.54
0,300,90,0,0,x,6.78518,2.35045,1,46.0386
0,300,90,0,0,y,5.33905,1.8495,0.3,316.727
0,300,90,0,0,y,5.33905,1.8495,1,28.5055
0,300,90,0,0,z,8.59912,2.97882,0.3,821.609
0,300,90,0,0,z,8.59912,2.97882,1,73.9448
300,0,0,0.375,0,x,6.162,2.13458,0.3,421.891
300,0,0,0.375,0,x,6.162,2.13458,1,37.9702
300,0,0,0.375,0,y,4.42262,1.53204,0.3,217.329
300,0,0,0.375,0,y,4.42262,1.53204,1,19.5596
300,0,0,0.375,0,z,5.29592,1.83456,0.3,311.63
300,0,0,0.375,0,z,5.29592,1.83456,1,28.0467
300,150,0,0.375,0.40404,x,6.3805,2.21027,0.3,452.341
300,150,0,0.375,0.40404,x,6.3805,2.21027,1,40.7107
300,150,0,0.375,0.40404,y,4.31213,1.49377,0.3,206.606
300,150,0,0.375,0.40404,y,4.31213,1.49377,1,18.5945
300,150,0,0.375,0.40404,z,5.63575,1.95228,0.3,352.908
300,150,0,0.375,0.40404,z,5.63575,1.95228,1,31.7617
300,150,45,0.375,0.40404,x,6.11204,2.11727,0.3,415.078
300,150,45,0.375,0.40404,x,6.11204,2.11727,1,37.357
300,150,45,0.375,0.40404,y,4.34835,1.50631,0.3,210.091
300,150,45,0.375,0.40404,y,4.34835,1.50631,1,18.9082
300,150,45,0.375,0.40404,z,5.54764,1.92176,0.3,341.959
300,150,45,0.375,0.40404,z,5.54764,1.92176,1,30.7763
300,150,90,0.375,0.40404,x,5.93059,2.05442,0.3,390.799
300,150,90,0.375,0.40404,x,5.93059,2.05442,1,35.1719
300,150,90,0.375,0.40404,y,4.31521,1.49483,0.3,206.9
300,150,90,0.375,0.40404,y,4.31521,1.49483,1,18.621
300,150,90,0.375,0.40404,z,5.58323,1.93409,0.3,346.361
300,150,90,0.375,0.40404,z,5.58323,1.93409,1,31.1724
300,300,0,0.375,0.808081,x,6.37905,2.20977,0.3,452.136
300,300,0,0.375,0.808081,x,6.37905,2.20977,1,40.6922
300,300,0,0.375,0.808081,y,4.02515,1.39435,0.3,180.02
300,300,0,0.375,0.808081,y,4.02515,1.39435,1,16.2018
300,300,0,0.375,0.808081,z,6.27527,2.17382,0.3,437.545
300,300,0,0.375,0.808081,z,6.27527,2.17382,1,39.379
300,300,45,0.375,0.808081,x,5.95789,2.06387,0.3,394.405
300,300,45,0.375,0.808081,x,5.95789,2.06387,1,35.4964
300,300,45,0.375,0.808081,y,4.28016,1.48269,0.3,203.553
300,300,45,0.375,0.808081,y,4.28016,1.48269,1,18.3198
300,300,45,0.375,0.808081,z,6.50372,2.25296,0.3,469.983
