z_p,offset,phi_deg,rho,eta,N,axis,pool,sigma_cov,sigma_cov_strip,sigma_rad,sigma_tan,sigma_emp,err_mean,pull_mean,pull_std,corr_t_zp,cx_true,cy_true,cx_fit,cy_fit,cx_fit_std,cy_fit_std
0,0,0,0,0,30,x,3339,0.725473,0.251311,0.725473,0.729872,0.684552,-0.458355,-0.630674,0.943716,-0.00767191,495,495,494.542,494.677,0.684552,0.824532
0,0,0,0,0,30,y,3339,0.729872,0.252835,0.725473,0.729872,0.824532,-0.323411,-0.442261,1.13605,0.0729801,495,495,494.542,494.677,0.684552,0.824532
0,0,0,0,0,30,z,3339,1.61097,0.558056,0.725473,0.729872,1.65583,0.309158,0.193654,1.02213,1,495,495,494.542,494.677,0.684552,0.824532
0,0,0,0,0,100,x,3339,0.39306,0.13616,0.39306,0.392891,0.417513,-0.22058,-0.561248,1.06336,0.00210029,495,495,494.779,494.766,0.417513,0.331618
0,0,0,0,0,100,y,3339,0.392891,0.136101,0.39306,0.392891,0.331618,-0.234499,-0.596535,0.843527,-0.00328493,495,495,494.779,494.766,0.417513,0.331618
0,0,0,0,0,100,z,3339,0.84704,0.293423,0.39306,0.392891,0.844058,0.531344,0.632649,1.00203,1,495,495,494.779,494.766,0.417513,0.331618
0,0,0,0,0,300,x,3339,0.226629,0.0785064,0.226629,0.226709,0.26865,-0.158626,-0.698621,1.18496,0.010493,495,495,494.841,494.768,0.26865,0.148682
0,0,0,0,0,300,y,3339,0.226709,0.0785343,0.226629,0.226709,0.148682,-0.232254,-1.02408,0.654789,-0.00319542,495,495,494.841,494.768,0.26865,0.148682
0,0,0,0,0,300,z,3339,0.489172,0.169454,0.226629,0.226709,0.418129,0.68928,1.41361,0.858991,1,495,495,494.841,494.768,0.26865,0.148682
0,150,0,0,0,30,x,3207,0.74016,0.256399,0.74016,0.72278,0.674097,-0.189126,-0.253856,0.913081,-0.192297,645,495,644.811,494.505,0.674097,1.05343
0,150,0,0,0,30,y,3207,0.72278,0.250378,0.74016,0.72278,1.05343,-0.494657,-0.677385,1.44473,0.0262074,645,495,644.811,494.505,0.674097,1.05343
0,150,0,0,0,30,z,3207,1.56978,0.543786,0.74016,0.72278,2.05612,0.0258104,0.0579412,1.33953,1,645,495,644.811,494.505,0.674097,1.05343
0,150,0,0,0,100,x,3207,0.408254,0.141423,0.408254,0.394703,0.534581,-0.322064,-0.791661,1.31372,-0.251831,645,495,644.678,494.55,0.534581,0.383036
0,150,0,0,0,100,y,3207,0.394703,0.136729,0.408254,0.394703,0.383036,-0.449946,-1.1425,0.97309,0.00352316,645,495,644.678,494.55,0.534581,0.383036
0,150,0,0,0,100,z,3207,0.859958,0.297898,0.408254,0.394703,1.15547,0.461759,0.539548,1.37099,1,645,495,644.678,494.55,0.534581,0.383036
0,150,0,0,0,300,x,3207,0.233179,0.0807756,0.233179,0.22738,0.296468,-0.278427,-1.19701,1.27082,-0.228608,645,495,644.722,494.624,0.296468,0.251979
0,150,0,0,0,300,y,3207,0.22738,0.0787666,0.233179,0.22738,0.251979,-0.375529,-1.65015,1.10388,-0.0100466,645,495,644.722,494.624,0.296468,0.251979
0,150,0,0,0,300,z,3207,0.492125,0.170477,0.233179,0.22738,0.451642,0.458454,0.926296,0.904427,1,645,495,644.722,494.624,0.296468,0.251979
0,150,45,0,0,30,x,3158,0.735986,0.254953,0.746389,0.724579,0.775386,-0.120818,-0.173388,1.05598,-0.166527,601.066,601.066,600.945,600.651,0.775386,0.77773
0,150,45,0,0,30,y,3158,0.735002,0.254612,0.746389,0.724579,0.77773,-0.414537,-0.562256,1.06898,-0.178772,601.066,601.066,600.945,600.651,0.775386,0.77773
0,150,45,0,0,30,z,3158,1.55025,0.537024,0.746389,0.724579,2.22516,0.172027,0.0958829,1.44205,1,601.066,601.066,600.945,600.651,0.775386,0.77773
0,150,45,0,0,100,x,3158,0.400091,0.138596,0.4031,0.394947,0.460944,-0.294179,-0.738807,1.15727,-0.167222,601.066,601.066,600.772,600.649,0.460944,0.365857
0,150,45,0,0,100,y,3158,0.397998,0.137871,0.4031,0.394947,0.365857,-0.417307,-1.05017,0.920737,-0.143912,601.066,601.066,600.772,600.649,0.460944,0.365857
0,150,45,0,0,100,z,3158,0.851263,0.294886,0.4031,0.394947,0.940447,0.371756,0.440565,1.08897,1,601.066,601.066,600.772,600.649,0.460944,0.365857
0,150,45,0,0,300,x,3158,0.230522,0.0798553,0.232919,0.227694,0.180497,-0.214649,-0.932047,0.78653,-0.161742,601.066,601.066,600.851,600.59,0.180497,0.200683
0,150,45,0,0,300,y,3158,0.230119,0.0797156,0.232919,0.227694,0.200683,-0.476498,-2.07163,0.87534,-0.168853,601.066,601.066,600.851,600.59,0.180497,0.200683
0,150,45,0,0,300,z,3158,0.487393,0.168838,0.232919,0.227694,0.45922,0.302117,0.619237,0.946315,1,601.066,601.066,600.851,600.59,0.180497,0.200683
0,150,90,0,0,30,x,3266,0.731374,0.253355,0.737346,0.731374,0.907424,-0.157755,-0.220572,1.2464,0.0233869,495,645,494.842,644.439,0.907424,0.745343
0,150,90,0,0,30,y,3266,0.737346,0.255424,0.737346,0.731374,0.745343,-0.560728,-0.754538,1.01314,-0.196813,495,645,494.842,644.439,0.907424,0.745343
0,150,90,0,0,30,z,3266,1.59755,0.553408,0.737346,0.731374,2.25303,0.573002,0.374344,1.41657,1,495,645,494.842,644.439,0.907424,0.745343
0,150,90,0,0,100,x,3266,0.39545,0.136988,0.402021,0.39545,0.354965,0.0160215,0.0410318,0.89988,-0.0164002,495,645,495.016,644.636,0.354965,0.374305
0,150,90,0,0,100,y,3266,0.402021,0.139264,0.402021,0.39545,0.374305,-0.364258,-0.904559,0.922889,-0.193963,495,645,495.016,644.636,0.354965,0.374305
0,150,90,0,0,100,z,3266,0.871743,0.301981,0.402021,0.39545,0.800161,0.77228,0.895357,0.919925,1,495,645,495.016,644.636,0.354965,0.374305
0,150,90,0,0,300,x,3266,0.227538,0.0788214,0.232113,0.227538,0.214814,0.0135571,0.0597438,0.943109,-0.017476,495,645,495.014,644.543,0.214814,0.234874
0,150,90,0,0,300,y,3266,0.232113,0.0804062,0.232113,0.227538,0.234874,-0.457144,-1.97113,1.01374,-0.214887,495,645,495.014,644.543,0.214814,0.234874
0,150,90,0,0,300,z,3266,0.497972,0.172503,0.232113,0.227538,0.493307,0.357968,0.722806,0.996834,1,495,645,495.014,644.543,0.214814,0.234874
0,300,0,0,0,30,x,2966,0.825504,0.285963,0.825504,0.731539,0.794434,-0.465188,-0.574369,0.962153,-0.47553,795,495,794.535,494.675,0.794434,0.947462
0,300,0,0,0,30,y,2966,0.731539,0.253413,0.825504,0.731539,0.947462,-0.324775,-0.44577,1.29672,0.0103913,795,495,794.535,494.675,0.794434,0.947462
0,300,0,0,0,30,z,2966,1.62014,0.561234,0.825504,0.731539,2.16292,0.233963,0.14705,1.34716,1,795,495,794.535,494.675,0.794434,0.947462
0,300,0,0,0,100,x,2966,0.43794,0.151707,0.43794,0.395651,0.633318,-0.354983,-0.823923,1.45114,-0.43767,795,495,794.645,494.441,0.633318,0.564206
0,300,0,0,0,100,y,2966,0.395651,0.137057,0.43794,0.395651,0.564206,-0.559242,-1.41166,1.42406,-0.00715148,795,495,794.645,494.441,0.633318,0.564206
0,300,0,0,0,100,z,2966,0.857074,0.296899,0.43794,0.395651,0.681108,0.250765,0.299821,0.791522,1,795,495,794.645,494.441,0.633318,0.564206
0,300,0,0,0,300,x,2966,0.254183,0.0880516,0.254183,0.227027,0.225024,-0.388627,-1.53351,0.89461,-0.451047,795,495,794.611,494.576,0.225024,0.231701
